Order ID,Order Date,Category,Sub-Category,Product Name,Region,Customer Segment,Quantity,Discount,Sales,Profit,Year,Month,MonthName,YearMonth,Profit Margin (%)
ORD-12400,2022-12-15,Office Supplies,Paper,Notebook Set,Central,Consumer,3,0.0,45.42,12.5,2022,12,Dec,2022-12,27.52
ORD-15011,2023-01-30,Technology,Machines,Calculator,West,Consumer,4,0.3,4457.39,620.73,2023,1,Jan,2023-01,20.63
ORD-10942,2021-08-11,Office Supplies,Paper,Sticky Notes Pack,North,Consumer,2,0.3,192.46,20.36,2021,8,Aug,2021-08,10.58
ORD-12267,2023-10-24,Technology,Machines,Label Printer,East,Consumer,5,0.0,6642.31,620.73,2023,10,Oct,2023-10,29.44
ORD-15622,2024-07-03,Technology,Accessories,Wireless Mouse,South,Consumer,5,0.0,751.55,34.23,2024,7,Jul,2024-07,4.55
ORD-17007,2024-09-22,Office Supplies,Art,Color Pencils,South,Consumer,12,0.0,397.02,72.66,2024,9,Sep,2024-09,18.3
ORD-18904,2021-08-16,Office Supplies,Labels,Address Labels,West,Home Office,13,0.1,383.52,37.97,2021,8,Aug,2021-08,9.9
ORD-19145,2021-12-06,Office Supplies,Envelopes,Security Envelopes,West,Home Office,3,0.0,290.34,87.73,2021,12,Dec,2021-12,30.22
ORD-15297,2023-01-28,Office Supplies,Paper,Copy Paper Ream,West,Consumer,4,0.0,73.15,4.93,2023,1,Jan,2023-01,6.74
ORD-10882,2022-12-05,Furniture,Chairs,Mesh Task Chair,South,Corporate,11,0.0,1891.54,-190.86,2022,12,Dec,2022-12,-10.09
ORD-14955,2022-01-13,Office Supplies,Envelopes,Security Envelopes,East,Consumer,10,0.0,389.37,44.59,2022,1,Jan,2022-01,11.45
ORD-16088,2022-01-27,Office Supplies,Paper,Sticky Notes Pack,East,Consumer,4,0.0,87.66,29.05,2022,1,Jan,2022-01,33.14
ORD-16525,2022-06-27,Technology,Machines,Label Printer,South,Consumer,7,0.15,4298.79,211.9,2022,6,Jun,2022-06,4.93
ORD-19125,2024-08-01,Technology,Copiers,Desktop Copier,East,Home Office,7,0.15,6879.24,620.73,2024,8,Aug,2024-08,17.39
ORD-10639,2023-02-14,Office Supplies,Labels,Address Labels,West,Corporate,4,0.15,359.67,104.77,2023,2,Feb,2023-02,29.13
