Order ID,Order Date,Category,Sub-Category,Product Name,Region,Customer Segment,Quantity,Discount,Sales,Profit
ORD-12400,2022-12-15,Office Supplies,Paper,Notebook Set,Central,Consumer,3.0,0.0,45.42,12.5
ORD-15011,2023-01-30,Technology,Machines,Calculator,West,,4.0,0.3,4457.39,919.4
ORD-10942,2021-08-11 00:00:00,Office Supplies,Paper,Sticky Notes Pack,North,Consumer,2.0,0.3,192.46,20.36
ORD-12267,2023-10-24,Technology,Machines,Label Printer,East,Consumer,5.0,0.0,6642.31,1955.46
ORD-15622,2024-07-03 00:00:00,Technology,Accessories,Wireless Mouse,South,Consumer,5.0,0.0,751.55,34.23
ORD-17007,2024-09-22,Office Supplies,Art,Color Pencils,South,Consumer,12.0,0.0,397.02,72.66
ORD-18904,2021-08-16 00:00:00,Office Supplies,Labels,Address Labels,West,Home Office,13.0,0.1,383.52,37.97
ORD-19145,2021-12-06 00:00:00,Office Supplies,Envelopes,Security Envelopes,West,Home Office,3.0,0.0,290.34,87.73
ORD-15297,2023-01-28,Office Supplies,Paper,Copy Paper Ream,West,Consumer,4.0,0.0,73.15,4.93
ORD-10882,2022-12-05 00:00:00,Furniture,Chairs,Mesh Task Chair,South,Corporate,11.0,0.0,1891.54,-190.86
ORD-14955,2022-01-13,Office Supplies,Envelopes,Security Envelopes,East,Consumer,10.0,0.0,389.37,44.59
ORD-16088,2022-01-27,Office Supplies,Paper,Sticky Notes Pack,East,Consumer,4.0,0.0,87.66,29.05
ORD-16525,2022-06-27 00:00:00,Technology,Machines,Label Printer,South,Consumer,7.0,0.15,4298.79,211.9
ORD-19125,2024-08-01 00:00:00,Technology,Copiers,Desktop Copier,East,Home Office,,0.15,19772.13,3437.39
ORD-10639,2023-02-14,Office Supplies,Labels,Address Labels,West,Corporate,4.0,0.15,359.67,104.77
ORD-12981,2022-04-28 00:00:00,Technology,Copiers,Desktop Copier,East,Consumer,12.0,0.0,13093.85,528.33
ORD-16479,2021-07-16 00:00:00,Technology,Phones,Smartphone X200,Central,Consumer,8.0,0.0,3275.01,691.45
ORD-14546,2023-01-31 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,West,Consumer,6.0,0.15,389.97,39.79
ORD-11421,2023-10-31 00:00:00,Technology,Phones,Office Cordless Phone,Central,Consumer,2.0,0.15,301.24,83.78
ORD-14930,2021-11-14 00:00:00,Office Supplies,Art,Sketch Pad,North,Consumer,9.0,0.0,444.37,114.77
ORD-17639,2022-04-26 00:00:00,Office Supplies,Paper,Sticky Notes Pack,Central,Home Office,11.0,0.0,1178.15,409.47
ORD-14853,2021-11-14 00:00:00,Office Supplies,Binders,View Binder,Central,Consumer,10.0,0.3,344.93,46.62
ORD-15523,2022-10-29,Office Supplies,Storage,File Cabinet,West,Corporate,2.0,0.0,228.49,11.68
ORD-15586,2024-08-05 00:00:00,Furniture,Bookcases,Metal Shelving Unit,Central,Corporate,10.0,0.1,7286.72,
ORD-12399,2023-12-02,Furniture,Bookcases,Corner Bookcase,East,Corporate,7.0,0.2,1703.97,274.39
ORD-13992,2023-11-15 00:00:00,Office Supplies,Storage,Plastic Bin,Central,Corporate,1.0,0.0,96.5,23.6
ORD-18340,2021-08-08 00:00:00,Furniture,Chairs,Mesh Task Chair,East,Consumer,4.0,0.0,2271.08,309.59
ORD-19496,2021-01-05 00:00:00,Office Supplies,Binders,Heavy Duty Binder,North,Consumer,3.0,0.0,215.32,71.41
ORD-12427,2024-01-15 00:00:00,Office Supplies,Envelopes,Security Envelopes,CENTRAL,Home Office,11.0,0.1,276.86,16.25
ORD-16953,2022-05-31,Office Supplies,Envelopes,Mailing Envelopes,West,Home Office,4.0,0.0,107.44,22.25
ORD-18118,2021-03-20,Technology,Accessories,Wireless Mouse,North,Corporate,2.0,0.1,2427.55,376.44
ORD-19068,2021-10-25,Office Supplies,Storage,Storage Box,South,Consumer,12.0,0.2,1328.71,189.07
ORD-10438,2024-01-13,Furniture,Chairs,Mesh Task Chair,North,Home Office,6.0,0.0,575.43,-15.9
ORD-15778,2023-01-29,Technology,Phones,Smartphone Lite,CENTRAL,Corporate,6.0,0.0,6689.16,1123.61
ORD-16257,2023-07-08,Technology,Copiers,Desktop Copier,South,Consumer,8.0,0.1,8188.15,2374.56
ORD-15376,2024-02-03,Office Supplies,Labels,Shipping Labels,South,Consumer,10.0,0.0,127.55,8.49
ORD-17570,2024-07-12 00:00:00,Furniture,Furnishings,Filing Tray,,Corporate,3.0,0.3,1683.81,-60.41
ORD-10716,2024-11-01 00:00:00,Technology,Machines,Laminator,West,Consumer,1.0,0.0,301.06,19.67
ORD-16720,2021-05-03 00:00:00,Furniture,Bookcases,Metal Shelving Unit,North,Corporate,1.0,0.15,676.05,90.2
ORD-17968,2023-04-17 00:00:00,Office Supplies,Paper,Notebook Set,Central,Consumer,2.0,0.1,207.24,59.15
ORD-19070,2024-08-06 00:00:00,Office Supplies,Binders,Heavy Duty Binder,,Consumer,4.0,0.2,367.95,110.03
ORD-13210,2021-05-16,Technology,Accessories,USB Hub,East,Home Office,2.0,0.0,2788.33,813.31
ORD-13639,2021-01-20,Furniture,Chairs,Executive Office Chair,North,Consumer,2.0,0.0,1574.43,27.77
ORD-12520,2022-07-26,Furniture,Furnishings,Desk Lamp,Central,Consumer,4.0,0.0,2853.19,554.56
ORD-11110,2023-04-18 00:00:00,Technology,Accessories,Keyboard,Central,Consumer,8.0,0.0,12837.58,475.23
ORD-14954,2024-10-13,Office Supplies,Binders,3-Ring Binder,East,Consumer,4.0,0.0,248.94,66.51
ORD-14114,2022-02-06 00:00:00,Office Supplies,Labels,Shipping Labels,Central,Corporate,8.0,0.0,60.14,16.92
ORD-19207,2022-05-31,Technology,Copiers,Desktop Copier,South,Corporate,12.0,0.2,11723.62,654.36
ORD-14736,2021-04-06,Furniture,Furnishings,Desk Lamp,Central,Corporate,11.0,0.0,3847.08,-141.28
ORD-13783,2024-08-02 00:00:00,Office Supplies,Art,Sketch Pad,East,Consumer,7.0,0.0,410.75,81.71
ORD-19288,2024-03-25, Office Supplies ,Labels,Address Labels,South,Consumer,,0.3,92.87,22.83
ORD-12315,2024-07-28, Office Supplies ,Labels,Shipping Labels,Central,Consumer,5.0,0.3,49.48,16.69
ORD-16563,2021-12-02 00:00:00,Office Supplies,Paper,Sticky Notes Pack,Central,Consumer,6.0,0.15,404.13,34.19
ORD-12905,2024-12-22 00:00:00,Furniture,Tables,Round Side Table,Central,Consumer,1.0,0.3,828.44,-0.65
ORD-16567,2022-03-02 00:00:00,Technology,Phones,Smartphone X200,East,Corporate,2.0,0.3,1760.04,286.46
ORD-12908,2022-11-07,Office Supplies,Paper,Sticky Notes Pack,East,Consumer,2.0,0.0,133.52,23.12
ORD-18005,2022-03-29 00:00:00,Office Supplies,Art,Sketch Pad,East,Corporate,2.0,0.1,233.41,20.94
ORD-19084,2022-05-19 00:00:00,Office Supplies,Art,Color Pencils,West,Consumer,11.0,0.0,978.21,164.99
ORD-18426,2024-09-04 00:00:00,Office Supplies,Storage,Storage Box,Central,Corporate,5.0,0.0,201.74,
ORD-18240,2023-08-24 00:00:00,Furniture,Chairs,Executive Office Chair,East,Corporate,2.0,0.1,164.19,6.98
ORD-10036,2021-06-22,Furniture,Furnishings,Wall Clock,South,Corporate,8.0,0.0,1301.53,243.07
ORD-16414,2024-05-28 00:00:00,Technology,Phones,Smartphone Lite,West,Consumer,2.0,0.0,2270.92,359.1
ORD-14277,2023-05-06,Technology,Accessories,Laptop Stand,South,Consumer,5.0,0.0,2847.35,268.92
ORD-13559,2022-02-09 00:00:00,Office Supplies,Labels,Address Labels,South,Home Office,13.0,0.0,186.19,40.9
ORD-17188,2021-08-31 00:00:00,Furniture,Chairs,Executive Office Chair,West,Corporate,2.0,0.15,1716.51,
ORD-19219,2024-10-18 00:00:00,Office Supplies,Paper,Sticky Notes Pack,North,Consumer,9.0,0.15,907.28,80.68
ORD-14799,2023-09-18,Furniture,Bookcases,Corner Bookcase,Central,Home Office,13.0,0.2,7314.99,1068.1
ORD-10965,2021-02-17 00:00:00, Office Supplies ,Storage,Plastic Bin,North,Consumer,2.0,0.3,24.25,8.34
ORD-18656,2023-12-16 00:00:00, Office Supplies ,Binders,View Binder,Central,Corporate,7.0,0.15,,9.71
ORD-17908,2024-09-12 00:00:00,Office Supplies,Paper,Copy Paper Ream,West,Corporate,1.0,0.15,37.74,9.74
ORD-19678,2021-01-14 00:00:00,Office Supplies,Binders,Heavy Duty Binder,South,Consumer,1.0,0.2,26.93,4.35
ORD-10065,2022-10-02 00:00:00,Office Supplies,Art,Color Pencils,East,Consumer,9.0,0.15,458.83,109.97
ORD-16939,2021-03-30,Furniture,Tables,Round Side Table,East,Corporate,1.0,0.2,63.16,-7.5
ORD-18776,2022-02-28 00:00:00,Office Supplies,Envelopes,Security Envelopes,Central,Corporate,13.0,0.2,223.72,71.1
ORD-13986,2023-06-27 00:00:00,Office Supplies,Storage,Storage Box,Central,Consumer,4.0,0.0,101.92,34.47
ORD-11748,2024-11-18 00:00:00,Office Supplies,Storage,Plastic Bin,North,Consumer,7.0,0.3,700.72,203.24
ORD-10052,2021-11-11 00:00:00,Technology,Phones,Smartphone X200,North,Consumer,5.0,0.3,1500.25,406.71
ORD-18522,2022-03-27 00:00:00,Furniture,Chairs,Ergo Recliner,Central,Corporate,,0.0,7096.13,1037.78
ORD-19153,2022-12-17 00:00:00,Technology,Phones,Office Cordless Phone,North,Consumer,3.0,0.1,797.79,125.07
ORD-12714,2021-05-02,Office Supplies,Labels,Shipping Labels,Central,Home Office,12.0,0.1,1108.78,121.24
ORD-13730,2023-02-12 00:00:00,Furniture,Bookcases,Corner Bookcase,West,Corporate,1.0,0.0,569.55,106.31
ORD-13580,2023-04-19 00:00:00,Office Supplies,Storage,Storage Box,Central,Consumer,9.0,0.3,1043.06,204.83
ORD-16050,2021-12-21 00:00:00,Office Supplies,Storage,File Cabinet,West,Consumer,8.0,0.15,903.49,175.12
ORD-14302,2024-01-11,Office Supplies,Paper,Sticky Notes Pack,West,Consumer,5.0,0.1,491.1,96.57
ORD-13845,2021-05-02,Furniture,Chairs,Folding Chair,East,Home Office,5.0,0.2,945.44,146.48
ORD-12139,2021-10-22,Office Supplies,Storage,Plastic Bin,West,Home Office,12.0,0.3,460.77,28.79
ORD-16716,2022-02-16,Office Supplies,Binders,3-Ring Binder,South,Consumer,4.0,0.3,84.42,16.93
ORD-12573,2023-10-08 00:00:00,Office Supplies,Labels,Shipping Labels,North,Consumer,9.0,0.0,356.85,120.09
ORD-14401,2023-11-29 00:00:00,Office Supplies,Envelopes,Security Envelopes,North,Consumer,4.0,0.2,,17.62
ORD-15216,2022-08-25 00:00:00,Office Supplies,Binders,View Binder,South,Home Office,1.0,0.3,64.26,16.28
ORD-10011,2022-03-18,Technology,Accessories,Laptop Stand,South,Corporate,,0.0,5588.18,1532.92
ORD-11312,2022-01-03 00:00:00,Office Supplies,Storage,File Cabinet,East,Home Office,12.0,0.0,608.57,178.76
ORD-10863,2023-09-14 00:00:00,Furniture,Bookcases,Oak Bookcase,North,Consumer,6.0,0.15,2301.06,175.65
ORD-17999,2022-02-09 00:00:00,Office Supplies,Storage,File Cabinet,West,Consumer,13.0,0.0,1428.9,280.3
ORD-12753,2021-04-29,Office Supplies,Envelopes,Mailing Envelopes,East,Consumer,4.0,0.0,219.7,61.57
